13,B,313,N,169
168,0,10,10000,0
0,1,0,10000,0
0,13,0,10000,0
1,2,0,10000,0
1,14,0,10000,0
2,3,0,10000,0
2,15,0,10000,0
3,4,0,10000,0
3,16,0,10000,0
4,5,0,10000,0
4,17,0,10000,0
5,6,0,10000,0
5,18,0,10000,0
6,7,0,10000,0
6,19,0,10000,0
7,8,0,10000,0
7,20,0,10000,0
8,9,0,10000,0
8,21,0,10000,0
9,10,0,10000,0
9,22,0,10000,0
10,11,0,10000,0
10,23,0,10000,0
11,12,0,10000,0
11,24,0,10000,0
12,25,0,10000,0
13,14,0,10000,0
13,26,0,10000,0
14,15,0,10000,0
14,27,0,10000,0
15,16,0,10000,0
15,28,0,10000,0
16,17,0,10000,0
16,29,0,10000,0
17,18,0,10000,0
17,30,0,10000,0
18,19,0,10000,0
18,31,0,10000,0
19,20,0,10000,0
19,32,0,10000,0
20,21,0,10000,0
20,33,0,10000,0
21,22,0,10000,0
21,34,0,10000,0
22,23,0,10000,0
22,35,0,10000,0
23,24,0,10000,0
23,36,0,10000,0
24,25,0,10000,0
24,37,0,10000,0
25,38,0,10000,0
26,27,0,10000,0
26,39,0,10000,0
27,28,0,10000,0
27,40,0,10000,0
28,29,0,10000,0
28,41,0,10000,0
29,30,0,10000,0
29,42,0,10000,0
30,31,0,10000,0
30,43,0,10000,0
31,32,0,10000,0
31,44,0,10000,0
32,33,0,10000,0
32,45,0,10000,0
33,34,0,10000,0
33,46,0,10000,0
34,35,0,10000,0
34,47,0,10000,0
35,36,0,10000,0
35,48,0,10000,0
36,37,0,10000,0
36,49,0,10000,0
37,38,0,10000,0
37,50,0,10000,0
38,51,0,10000,0
39,40,0,10000,0
39,52,0,10000,0
40,41,0,10000,0
40,53,0,10000,0
41,42,0,10000,0
41,54,0,10000,0
42,43,0,10000,0
42,55,0,10000,0
43,44,0,10000,0
43,56,0,10000,0
44,45,0,10000,0
44,57,0,10000,0
45,46,0,10000,0
45,58,0,10000,0
46,47,0,10000,0
46,59,0,10000,0
47,48,0,10000,0
47,60,0,10000,0
48,49,0,10000,0
48,61,0,10000,0
49,50,0,10000,0
49,62,0,10000,0
50,51,0,10000,0
50,63,0,10000,0
51,64,0,10000,0
52,53,0,10000,0
52,65,0,10000,0
53,54,0,10000,0
53,66,0,10000,0
54,55,0,10000,0
54,67,0,10000,0
55,56,0,10000,0
55,68,0,10000,0
56,57,0,10000,0
56,69,0,10000,0
57,58,0,10000,0
57,70,0,10000,0
58,59,0,10000,0
58,71,0,10000,0
59,60,0,10000,0
59,72,0,10000,0
60,61,0,10000,0
60,73,0,10000,0
61,62,0,10000,0
61,74,0,10000,0
62,63,0,10000,0
62,75,0,10000,0
63,64,0,10000,0
63,76,0,10000,0
64,77,0,10000,0
65,66,0,10000,0
65,78,0,10000,0
66,67,0,10000,0
66,79,0,10000,0
67,68,0,10000,0
67,80,0,10000,0
68,69,0,10000,0
68,81,0,10000,0
69,70,0,10000,0
69,82,0,10000,0
70,71,0,10000,0
70,83,0,10000,0
71,72,0,10000,0
71,84,0,10000,0
72,73,0,10000,0
72,85,0,10000,0
73,74,0,10000,0
73,86,0,10000,0
74,75,0,10000,0
74,87,0,10000,0
75,76,0,10000,0
75,88,0,10000,0
76,77,0,10000,0
76,89,0,10000,0
77,90,0,10000,0
78,79,0,10000,0
78,91,0,10000,0
79,80,0,10000,0
79,92,0,10000,0
80,81,0,10000,0
80,93,0,10000,0
81,82,0,10000,0
81,94,0,10000,0
82,83,0,10000,0
82,95,0,10000,0
83,84,0,10000,0
83,96,0,10000,0
84,85,0,10000,0
84,97,0,10000,0
85,86,0,10000,0
85,98,0,10000,0
86,87,0,10000,0
86,99,0,10000,0
87,88,0,10000,0
87,100,0,10000,0
88,89,0,10000,0
88,101,0,10000,0
89,90,0,10000,0
89,102,0,10000,0
90,103,0,10000,0
91,92,0,10000,0
91,104,0,10000,0
92,93,0,10000,0
92,105,0,10000,0
93,94,0,10000,0
93,106,0,10000,0
94,95,0,10000,0
94,107,0,10000,0
95,96,0,10000,0
95,108,0,10000,0
96,97,0,10000,0
96,109,0,10000,0
97,98,0,10000,0
97,110,0,10000,0
98,99,0,10000,0
98,111,0,10000,0
99,100,0,10000,0
99,112,0,10000,0
100,101,0,10000,0
100,113,0,10000,0
101,102,0,10000,0
101,114,0,10000,0
102,103,0,10000,0
102,115,0,10000,0
103,116,0,10000,0
104,105,0,10000,0
104,117,0,10000,0
105,106,0,10000,0
105,118,0,10000,0
106,107,0,10000,0
106,119,0,10000,0
107,108,0,10000,0
107,120,0,10000,0
108,109,0,10000,0
108,121,0,10000,0
109,110,0,10000,0
109,122,0,10000,0
110,111,0,10000,0
110,123,0,10000,0
111,112,0,10000,0
111,124,0,10000,0
112,113,0,10000,0
112,125,0,10000,0
113,114,0,10000,0
113,126,0,10000,0
114,115,0,10000,0
114,127,0,10000,0
115,116,0,10000,0
115,128,0,10000,0
116,129,0,10000,0
117,118,0,10000,0
117,130,0,10000,0
118,119,0,10000,0
118,131,0,10000,0
119,120,0,10000,0
119,132,0,10000,0
120,121,0,10000,0
120,133,0,10000,0
121,122,0,10000,0
121,134,0,10000,0
122,123,0,10000,0
122,135,0,10000,0
123,124,0,10000,0
123,136,0,10000,0
124,125,0,10000,0
124,137,0,10000,0
125,126,0,10000,0
125,138,0,10000,0
126,127,0,10000,0
126,139,0,10000,0
127,128,0,10000,0
127,140,0,10000,0
128,129,0,10000,0
128,141,0,10000,0
129,142,0,10000,0
130,131,0,10000,0
130,143,0,10000,0
131,132,0,10000,0
131,144,0,10000,0
132,133,0,10000,0
132,145,0,10000,0
133,134,0,10000,0
133,146,0,10000,0
134,135,0,10000,0
134,147,0,10000,0
135,136,0,10000,0
135,148,0,10000,0
136,137,0,10000,0
136,149,0,10000,0
137,138,0,10000,0
137,150,0,10000,0
138,139,0,10000,0
138,151,0,10000,0
139,140,0,10000,0
139,152,0,10000,0
140,141,0,10000,0
140,153,0,10000,0
141,142,0,10000,0
141,154,0,10000,0
142,155,0,10000,0
143,144,0,10000,0
143,156,0,10000,0
144,145,0,10000,0
144,157,0,10000,0
145,146,0,10000,0
145,158,0,10000,0
146,147,0,10000,0
146,159,0,10000,0
147,148,0,10000,0
147,160,0,10000,0
148,149,0,10000,0
148,161,0,10000,0
149,150,0,10000,0
149,162,0,10000,0
150,151,0,10000,0
150,163,0,10000,0
151,152,0,10000,0
151,164,0,10000,0
152,153,0,10000,0
152,165,0,10000,0
153,154,0,10000,0
153,166,0,10000,0
154,155,0,10000,0
154,167,0,10000,0
155,168,0,10000,0
156,157,0,10000,0
157,158,0,10000,0
158,159,0,10000,0
159,160,0,10000,0
160,161,0,10000,0
161,162,0,10000,0
162,163,0,10000,0
163,164,0,10000,0
164,165,0,10000,0
165,166,0,10000,0
166,167,0,10000,0
167,168,0,10000,0
