14,B,365,N,196
195,0,10,10000,0
0,1,0,10000,0
0,14,0,10000,0
1,2,0,10000,0
1,15,0,10000,0
2,3,0,10000,0
2,16,0,10000,0
3,4,0,10000,0
3,17,0,10000,0
4,5,0,10000,0
4,18,0,10000,0
5,6,0,10000,0
5,19,0,10000,0
6,7,0,10000,0
6,20,0,10000,0
7,8,0,10000,0
7,21,0,10000,0
8,9,0,10000,0
8,22,0,10000,0
9,10,0,10000,0
9,23,0,10000,0
10,11,0,10000,0
10,24,0,10000,0
11,12,0,10000,0
11,25,0,10000,0
12,13,0,10000,0
12,26,0,10000,0
13,27,0,10000,0
14,15,0,10000,0
14,28,0,10000,0
15,16,0,10000,0
15,29,0,10000,0
16,17,0,10000,0
16,30,0,10000,0
17,18,0,10000,0
17,31,0,10000,0
18,19,0,10000,0
18,32,0,10000,0
19,20,0,10000,0
19,33,0,10000,0
20,21,0,10000,0
20,34,0,10000,0
21,22,0,10000,0
21,35,0,10000,0
22,23,0,10000,0
22,36,0,10000,0
23,24,0,10000,0
23,37,0,10000,0
24,25,0,10000,0
24,38,0,10000,0
25,26,0,10000,0
25,39,0,10000,0
26,27,0,10000,0
26,40,0,10000,0
27,41,0,10000,0
28,29,0,10000,0
28,42,0,10000,0
29,30,0,10000,0
29,43,0,10000,0
30,31,0,10000,0
30,44,0,10000,0
31,32,0,10000,0
31,45,0,10000,0
32,33,0,10000,0
32,46,0,10000,0
33,34,0,10000,0
33,47,0,10000,0
34,35,0,10000,0
34,48,0,10000,0
35,36,0,10000,0
35,49,0,10000,0
36,37,0,10000,0
36,50,0,10000,0
37,38,0,10000,0
37,51,0,10000,0
38,39,0,10000,0
38,52,0,10000,0
39,40,0,10000,0
39,53,0,10000,0
40,41,0,10000,0
40,54,0,10000,0
41,55,0,10000,0
42,43,0,10000,0
42,56,0,10000,0
43,44,0,10000,0
43,57,0,10000,0
44,45,0,10000,0
44,58,0,10000,0
45,46,0,10000,0
45,59,0,10000,0
46,47,0,10000,0
46,60,0,10000,0
47,48,0,10000,0
47,61,0,10000,0
48,49,0,10000,0
48,62,0,10000,0
49,50,0,10000,0
49,63,0,10000,0
50,51,0,10000,0
50,64,0,10000,0
51,52,0,10000,0
51,65,0,10000,0
52,53,0,10000,0
52,66,0,10000,0
53,54,0,10000,0
