size,,Resistance,Time  of  Calculation
2,unbanded,9999.999999999993,0.0
2,banded,9999.999999999993,0.0
3,unbanded,15000.0,0.009975910186767578
3,banded,15000.0,0.0
4,unbanded,18571.428571428536,0.040000200271606445
4,banded,18571.428571428536,0.029999494552612305
5,unbanded,21363.63636363633,0.14003610610961914
5,banded,21363.63636363633,0.1400001049041748
6,unbanded,23656.565656565595,0.5901792049407959
6,banded,23656.565656565595,0.609973669052124
7,unbanded,25601.443464314245,1.8102748394012451
7,banded,25601.443464314245,1.9403820037841797
8,unbanded,27289.76763169798,4.584414005279541
8,banded,27289.76763169798,4.142033815383911
9,unbanded,28781.1737377164,10.727611064910889
9,banded,28781.1737377164,10.453659772872925
10,unbanded,30116.695648965102,22.433315992355347
10,banded,30116.695648965102,22.619542360305786
11,unbanded,31325.769805547767,49.090728998184204
11,banded,31325.769805547767,47.45580458641052
12,unbanded,32430.225844643002,93.66330194473267
12,banded,32430.225844643002,90.16268062591553
13,unbanded,33446.697258168046,177.50023531913757
13,banded,33446.697258168046,189.2277455329895
14,unbanded,34388.14771662162,318.3809208869934
14,banded,34388.14771662162,349.4775984287262
15,unbanded,35264.8756597032,653.0292420387268
15,banded,35264.8756597032,575.0185737609863
